"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"How our CEO @SatyaNadella changed Microsoft and ""revitalized the company for the new era of tech"": https://t.co/IsoRlCdByu via @Qz",FALSE,272,NA,2019-02-20 23:57:19,FALSE,NA,"1098371047269662720",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",82,FALSE,FALSE,NA,NA
"RT @Health_IT: The Global Commission brought #healthcare specialists, advocates and tech together in the fight against rare diseases. Learn…",FALSE,0,NA,2019-02-20 22:02:08,FALSE,NA,"1098342060476649478",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",23,TRUE,FALSE,NA,NA
"Principal researcher @hannawallach explores how bias and lack of transparency affect #AI data. Listen to the podcas… https://t.co/hjY9cJEtzq",FALSE,211,NA,2019-02-20 21:29:52,TRUE,NA,"1098333941310795776",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",59,FALSE,FALSE,NA,NA
".@Daimler is accelerating innovation and shaping the future of mobility with their new #bigdata platform eXtollo. L… https://t.co/buOOEmwPWY",FALSE,224,NA,2019-02-20 19:51:27,TRUE,NA,"1098309175916908544",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",48,FALSE,FALSE,NA,NA
"RT @TechCrunch: Why Daimler moved its big data platform to the cloud https://t.co/0OXqqfAg0R by @fredericl https://t.co/eAVTYuvpyJ",FALSE,0,NA,2019-02-20 17:52:18,FALSE,NA,"1098279187771584512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",36,TRUE,FALSE,NA,NA
"The inventor of PURELL Hand Sanitizer is using the #cloud to prevent infections. Learn more about the digital innov… https://t.co/LZFyvXBWr9",FALSE,115,NA,2019-02-20 01:13:45,TRUE,NA,"1098027896067698688",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",24,FALSE,FALSE,NA,NA
"Microsoft Research CVP @peteratmsr is exploring our research in machine learning and the future of precision medici… https://t.co/LiE5SxL4T4",FALSE,169,NA,2019-02-20 00:07:41,TRUE,NA,"1098011271675277312",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",51,FALSE,FALSE,NA,NA
"RT @judsonalthoff: In the latest in my Disruption Defined series, @KomatsuAmerica chairman &amp; CEO Rod Schrader shares digital's role is resh…",FALSE,0,NA,2019-02-19 20:30:02,FALSE,NA,"1097956497995194368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",19,TRUE,FALSE,NA,NA
"GOJO Industries hopes to influence and improve hand hygiene with the help of the cloud and #IoT: https://t.co/AzrbtegBeh via @Forbes",FALSE,169,NA,2019-02-16 03:06:50,FALSE,NA,"1096606801259200513",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",41,FALSE,FALSE,NA,NA
"This week on #MicrosoftUnboxed <U+0001F4E6>, @sonia_dara and @colleenobrien share stories that show how #MixedReality can tran… https://t.co/XqKslOqMNV",FALSE,159,NA,2019-02-16 00:59:15,TRUE,NA,"1096574696982630400",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",34,FALSE,FALSE,NA,NA
"It takes 45 to 50 seconds for car No. 48 to complete a 2.5-mile lap at the #DAYTONA500<U+0001F3CE><U+FE0F>

Here's how @TeamHendrick… https://t.co/xJbPa9zmYR",FALSE,328,NA,2019-02-15 20:47:05,TRUE,NA,"1096511236030619648",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",84,FALSE,FALSE,NA,NA
"The inventor of PURELL Hand Sanitizer is using the #cloud to prevent infections. Learn more about the digital innov… https://t.co/3FmeFYxTuG",FALSE,164,NA,2019-02-15 20:13:35,TRUE,NA,"1096502805903245313",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",42,FALSE,FALSE,NA,NA
"From the 1970s to today, watch how Renault F1 Team has revolutionized their race car once again with these new tech… https://t.co/Z8wfy2gwqa",FALSE,275,NA,2019-02-14 23:34:16,TRUE,NA,"1096190919118774272",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Microsoft",47,FALSE,FALSE,NA,NA
"Executive @ToniTWhitley shares her thoughts on #BlackHistoryMonth, diversity &amp; inclusion, and celebrating 30-years… https://t.co/ORdFmE14sM",FALSE,125,NA,2019-02-14 18:55:28,TRUE,NA,"1096120757342486528",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",29,FALSE,FALSE,NA,NA
"This week on #MicrosoftUnboxed <U+0001F4E6>, Sonia and Colleen share stories that show how #MixedReality can transform the way… https://t.co/bvUdGgxduI",FALSE,148,NA,2019-02-14 17:13:02,TRUE,NA,"1096094982572630016",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",38,FALSE,FALSE,NA,NA
"RT @Office: It’s twin vs. twin in the battle for ultimate productivity. See why #Office365 can save you time and make work easy: https://t.…",FALSE,0,NA,2019-02-14 16:42:23,FALSE,NA,"1096087267427274752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",74,TRUE,FALSE,NA,NA
"RT @allisondlinn: “The company has changed culturally."" Here's how our culture of innovation through empathy is spurring new product develo…",FALSE,0,NA,2019-02-14 16:42:04,FALSE,NA,"1096087187630653442",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",26,TRUE,FALSE,NA,NA
"On the next episode of #MicrosoftUnboxed <U+0001F4E6> Sonia and Colleen discuss the potential of #MixedReality. Subscribe and… https://t.co/q4lLgBK5JM",FALSE,128,NA,2019-02-14 00:34:49,TRUE,NA,"1095843770707275776",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Microsoft",31,FALSE,FALSE,NA,NA
